image,eventLabel,date,event,participants,article_en
,,,http://www.wikidata.org/entity/Q11942758,Somalia; Ethiopia,
,,,http://www.wikidata.org/entity/Q11956522,Denmark; Sweden,
,,,http://www.wikidata.org/entity/Q119702612,Despotate of Arta; Despotate of Epirus,
,,,http://www.wikidata.org/entity/Q119726730,Seljuk Empire; Ghaznavid Empire,
,,,http://www.wikidata.org/entity/Q119873109,Despotate of Arta; Despotate of Epirus,
,,,http://www.wikidata.org/entity/Q119873215,Despotate of Arta; Despotate of Epirus,
,,,http://www.wikidata.org/entity/Q119932053,Despotate of Arta; Despotate of Epirus,
,,,http://www.wikidata.org/entity/Q119932361,Despotate of Arta; Despotate of Epirus,
,,,http://www.wikidata.org/entity/Q12010160,Haakon IV of Norway,
,Ghurid invasion of Bengal,1202-01-01T00:00:00Z,http://www.wikidata.org/entity/Q120108658,Ghurid dynasty; Sena dynasty,https://en.wikipedia.org/wiki/Ghurid_invasion_of_Bengal
,,,http://www.wikidata.org/entity/Q1202331,Second French Empire; German Confederation; Kingdom of Italy; Prussia; Austria; Kingdom of Bavaria; Denmark; Kingdom of Württemberg; North German Confederation; Grand Duchy of Baden,
http://commons.wikimedia.org/wiki/Special:FilePath/LocationAngola.svg,Angolan Civil War,1975-11-11T00:00:00Z,http://www.wikidata.org/entity/Q12055176,Cuba; People's Movement for the Liberation of Angola; Front for the Liberation of the Enclave of Cabinda; South Africa; National Liberation Front of Angola; National Union for the Total Independence of Angola,https://en.wikipedia.org/wiki/Angolan_Civil_War
http://commons.wikimedia.org/wiki/Special:FilePath/Pequot%20war.jpg,Pequot War,1638-09-01T00:00:00Z,http://www.wikidata.org/entity/Q1207617,Pequot people; Connecticut Colony; Saybrook Colony; Mohegan; Narragansett people; Plymouth Colony; Massachusetts Bay Colony,https://en.wikipedia.org/wiki/Pequot_War
,,,http://www.wikidata.org/entity/Q120843,Caucasian Front; Vladimir Putin; Mujahideen in Chechnya; Chechen Republic of Ichkeria; Caucasus Emirate; Georgia; Russia,
,,,http://www.wikidata.org/entity/Q1208479,Transcaucasian Democratic Federative Republic; Russian Soviet Federative Socialist Republic; Democratic Republic of Georgia,
,,,http://www.wikidata.org/entity/Q120906590,Spain,
,,,http://www.wikidata.org/entity/Q1209169,Georgia; Ukrainian National Assembly – Ukrainian National Self Defence; Abkhazia; Russia,
http://commons.wikimedia.org/wiki/Special:FilePath/Third%20anglo-burmese%20war.jpg,Third Anglo-Burmese War,1885-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1209946,Burmese Empire; British Empire,https://en.wikipedia.org/wiki/Third_Anglo-Burmese_War
,,,http://www.wikidata.org/entity/Q120998541,Dutch Republic; Kingdom of England,
,,,http://www.wikidata.org/entity/Q121027500,Maratha Empire; Portuguese Empire,
,,,http://www.wikidata.org/entity/Q121133266,Aurangzeb; Dara Shikoh; Murad Bakhsh; Shah Shuja,
,Invasion of New Sweden,1655-09-01T00:00:00Z,http://www.wikidata.org/entity/Q121237485,Dutch Republic; Swedish Empire,https://en.wikipedia.org/wiki/Invasion_of_New_Sweden
,,,http://www.wikidata.org/entity/Q121335815,Dutch Republic; Regency of Algiers; Eyalet of Tunis,
,,,http://www.wikidata.org/entity/Q121910275,Dutch East India Company; Kingdom of Kandy; Kingdom of France,
